index,date,time,exit_time,hold_mins,dir,entry,sl,t1,t2,t3,risk_pts,exit_price,outcome,r,score,mss,regime,fvg_size,fvg_top,fvg_bottom,hour,minute,weekday,win
NIFTY,2024-05-24,14:27,14:30,3,SHORT,23058.5,23066.3,23046.8,23042.9,23022.5,7.8,23022.5,T3,4.61,15,CHOCH,NEUTRAL,7.3,0,0,14,27,4,1
NIFTY,2024-05-24,15:09,15:12,3,LONG,23014.2,22999.5,23043.7,23058.5,23073.2,14.8,23043.7,T1,2.0,14,CHOCH,TRENDING,14.25,0,0,15,9,4,1
NIFTY,2024-05-27,12:54,12:57,3,SHORT,23165.8,23172.0,23153.5,23147.3,23130.0,6.2,23147.3,T2,3.0,11,CHOCH,TRENDING,5.65,0,0,12,54,0,1
NIFTY,2024-05-28,10:18,10:21,3,LONG,22988.5,22978.8,23003.0,23007.9,23028.2,9.7,23028.2,T3,4.09,13,CHOCH,NEUTRAL,9.2,0,0,10,18,1,1
NIFTY,2024-05-28,11:12,11:15,3,LONG,22988.5,22978.8,23003.0,23007.9,23029.1,9.7,23007.9,T2,2.0,13,CHOCH,NEUTRAL,9.2,0,0,11,12,1,1
NIFTY,2024-05-28,12:54,13:18,24,LONG,22936.5,22906.9,22995.5,23025.1,23054.7,29.6,22995.5,T1,2.0,16,BOS,TRENDING,29.05,0,0,12,54,1,1
NIFTY,2024-05-31,10:15,10:18,3,SHORT,22674.6,22681.2,22661.4,22654.8,22644.1,6.6,22681.2,SL,-1.0,12,CHOCH,TRENDING,6.1,0,0,10,15,4,0
NIFTY,2024-05-31,12:09,12:12,3,SHORT,22638.2,22641.8,22630.8,22627.0,22623.3,3.7,22627.0,T2,3.0,14,CHOCH,TRENDING,3.2,0,0,12,9,4,1
NIFTY,2024-05-31,12:51,12:54,3,LONG,22628.3,22613.5,22657.8,22672.5,22687.3,14.8,22672.5,T2,3.0,15,BOS,TRENDING,14.25,0,0,12,51,4,1
NIFTY,2024-05-31,15:15,15:18,3,LONG,22686.2,22683.7,22689.9,22691.2,22789.2,2.5,22691.2,T2,2.0,11,CHOCH,NEUTRAL,0.6,0,0,15,15,4,1
NIFTY,2024-06-04,13:15,13:18,3,LONG,21911.5,21897.1,21933.2,21940.5,22377.2,14.4,21940.5,T2,2.0,15,BOS,NEUTRAL,13.95,0,0,13,15,1,1
NIFTY,2024-06-05,12:42,12:45,3,SHORT,22366.5,22386.0,22337.3,22327.5,22308.0,19.5,22327.5,T2,2.0,14,CHOCH,NEUTRAL,19.0,0,0,12,42,2,1
NIFTY,2024-06-10,14:24,14:27,3,SHORT,23350.6,23354.0,23343.8,23340.4,23292.2,3.4,23292.2,T3,17.16,14,CHOCH,TRENDING,2.9,0,0,14,24,0,1
NIFTY,2024-06-11,10:03,10:06,3,LONG,23290.5,23278.5,23308.6,23314.7,23389.8,12.1,23314.7,T2,2.0,12,BOS,NEUTRAL,11.55,0,0,10,3,1,1
NIFTY,2024-06-12,11:39,11:57,18,SHORT,23434.5,23453.2,23397.0,23378.2,23359.5,18.8,23453.2,SL,-1.0,16,CHOCH,TRENDING,18.25,0,0,11,39,2,0
NIFTY,2024-06-12,14:45,15:00,15,LONG,23375.5,23363.9,23398.5,23410.1,23429.0,11.6,23363.9,SL,-1.0,16,CHOCH,TRENDING,11.05,0,0,14,45,2,0
NIFTY,2024-06-13,14:06,14:09,3,SHORT,23409.5,23412.0,23405.8,23404.5,23402.0,2.5,23402.0,T3,3.0,13,BOS,NEUTRAL,1.4,0,0,14,6,3,1
NIFTY,2024-06-19,11:42,11:45,3,LONG,23502.3,23492.2,23517.5,23522.6,23598.0,10.2,23522.6,T2,2.0,10,BOS,NEUTRAL,9.65,0,0,11,42,2,1
NIFTY,2024-06-19,13:06,13:09,3,SHORT,23555.2,23558.7,23548.2,23544.7,23529.2,3.5,23529.2,T3,7.43,14,CHOCH,TRENDING,3.0,0,0,13,6,2,1
NIFTY,2024-06-20,13:54,13:57,3,SHORT,23598.5,23623.3,23548.8,23524.0,23499.1,24.9,23548.8,T1,2.0,18,CHOCH,TRENDING,24.35,0,0,13,54,3,1
NIFTY,2024-06-21,13:54,14:00,6,LONG,23479.2,23444.2,23549.1,23584.0,23619.0,35.0,23549.1,T1,2.0,17,CHOCH,TRENDING,34.45,0,0,13,54,4,1
NIFTY,2024-06-24,12:45,12:48,3,SHORT,23531.0,23533.5,23526.0,23523.5,23494.0,2.5,23523.5,T2,3.0,13,BOS,TRENDING,1.65,0,0,12,45,0,1
NIFTY,2024-06-25,11:06,11:15,9,SHORT,23608.0,23618.5,23587.2,23576.7,23566.2,10.4,23576.7,T2,3.0,14,CHOCH,TRENDING,9.95,0,0,11,6,1,1
NIFTY,2024-06-26,10:18,10:21,3,LONG,23703.5,23696.0,23714.8,23718.5,23741.4,7.5,23741.4,T3,5.05,15,CHOCH,NEUTRAL,7.0,0,0,10,18,2,1
NIFTY,2024-06-27,13:00,13:03,3,SHORT,24004.3,24026.4,23960.2,23938.2,23916.2,22.1,23960.2,T1,2.0,17,CHOCH,TRENDING,21.55,0,0,13,0,3,1
NIFTY,2024-07-01,14:27,14:30,3,SHORT,24211.2,24214.8,24206.0,24204.2,24184.9,3.5,24204.2,T2,2.0,15,CHOCH,NEUTRAL,3.0,0,0,14,27,0,1
NIFTY,2024-07-02,11:39,11:42,3,SHORT,24264.5,24273.2,24247.2,24238.5,24210.0,8.7,24238.5,T2,3.0,14,CHOCH,TRENDING,8.15,0,0,11,39,1,1
NIFTY,2024-07-02,13:21,13:24,3,LONG,24166.5,24164.0,24171.5,24174.0,24233.8,2.5,24174.0,T2,3.0,14,CHOCH,TRENDING,0.25,0,0,13,21,1,1
NIFTY,2024-07-02,13:57,14:00,3,LONG,24175.5,24168.0,24186.8,24190.5,24202.0,7.5,24190.5,T2,2.0,15,CHOCH,NEUTRAL,7.0,0,0,13,57,1,1
NIFTY,2024-07-02,15:03,15:06,3,SHORT,24209.1,24214.2,24198.9,24193.8,24164.5,5.1,24193.8,T2,3.0,14,CHOCH,TRENDING,4.6,0,0,15,3,1,1
NIFTY,2024-07-04,13:27,13:30,3,SHORT,24393.9,24396.4,24388.9,24386.4,24383.9,2.5,24383.9,T3,4.0,17,CHOCH,TRENDING,0.6,0,0,13,27,3,1
NIFTY,2024-07-04,14:09,14:12,3,LONG,24369.2,24360.3,24387.2,24396.1,24405.0,8.9,24387.2,T1,2.0,15,BOS,TRENDING,8.45,0,0,14,9,3,1
NIFTY,2024-07-04,14:48,14:57,9,LONG,24369.2,24360.3,24382.7,24387.2,24402.2,8.9,24360.3,SL,-1.0,14,BOS,NEUTRAL,8.45,0,0,14,48,3,0
NIFTY,2024-07-05,13:00,13:06,6,SHORT,24351.5,24354.2,24346.2,24343.5,24337.0,2.7,24343.5,T2,3.0,13,BOS,TRENDING,2.2,0,0,13,0,4,1
NIFTY,2024-07-05,13:39,13:42,3,SHORT,24347.5,24350.0,24342.5,24340.0,24337.0,2.5,24337.0,T3,4.23,13,BOS,TRENDING,1.0,0,0,13,39,4,1
NIFTY,2024-07-05,15:03,15:06,3,LONG,24292.2,24247.2,24382.2,24427.2,24472.2,45.0,24382.2,T1,2.0,17,CHOCH,TRENDING,44.5,0,0,15,3,4,1
NIFTY,2024-07-10,12:03,12:54,51,LONG,24285.4,24261.8,24332.6,24356.2,24379.8,23.6,24332.6,T1,2.0,12,BOS,TRENDING,23.1,0,0,12,3,2,1
NIFTY,2024-07-10,13:42,13:45,3,SHORT,24311.6,24314.2,24307.7,24306.4,24300.5,2.6,24306.4,T2,2.0,15,CHOCH,NEUTRAL,2.1,0,0,13,42,2,1
NIFTY,2024-07-11,10:15,10:24,9,SHORT,24379.8,24428.8,24281.8,24232.8,24183.8,49.0,24281.8,T1,2.0,15,CHOCH,TRENDING,48.5,0,0,10,15,3,1
NIFTY,2024-07-15,11:57,12:00,3,SHORT,24614.5,24621.0,24601.5,24595.0,24588.5,6.5,24601.5,T1,2.0,17,CHOCH,TRENDING,6.0,0,0,11,57,0,1
NIFTY,2024-07-16,11:54,11:57,3,SHORT,24674.5,24677.0,24669.5,24667.0,24664.5,2.5,24664.5,T3,4.0,14,CHOCH,TRENDING,0.6,0,0,11,54,1,1
NIFTY,2024-07-18,12:09,12:12,3,LONG,24570.5,24568.0,24575.5,24578.0,24580.8,2.5,24580.8,T3,4.14,13,CHOCH,TRENDING,0.05,0,0,12,9,3,1
NIFTY,2024-07-22,11:24,11:27,3,SHORT,24555.0,24562.4,24540.3,24533.0,24518.0,7.3,24533.0,T2,3.0,14,CHOCH,TRENDING,6.85,0,0,11,24,0,1
NIFTY,2024-07-22,13:24,13:27,3,LONG,24508.7,24506.2,24513.7,24516.2,24565.0,2.5,24516.2,T2,3.0,16,CHOCH,TRENDING,1.85,0,0,13,24,0,1
NIFTY,2024-07-24,13:39,13:42,3,LONG,24311.0,24307.9,24315.7,24317.2,24333.6,3.1,24333.6,T3,7.3,11,CHOCH,NEUTRAL,2.6,0,0,13,39,2,1
NIFTY,2024-07-29,12:12,12:15,3,SHORT,25014.8,25028.5,24987.2,24973.5,24926.2,13.8,24973.5,T2,3.0,15,BOS,TRENDING,13.25,0,0,12,12,0,1
NIFTY,2024-07-29,14:30,14:33,3,LONG,24875.5,24859.7,24907.1,24922.9,24963.1,15.8,24922.9,T2,3.0,16,CHOCH,TRENDING,15.3,0,0,14,30,0,1
NIFTY,2024-07-30,12:15,12:21,6,SHORT,24985.0,24993.0,24969.1,24961.2,24953.2,8.0,24993.0,SL,-1.0,11,CHOCH,TRENDING,7.45,0,0,12,15,1,0
NIFTY,2024-07-31,13:48,13:51,3,SHORT,24994.8,24997.2,24991.0,24989.8,24972.4,2.5,24989.8,T2,2.0,15,CHOCH,NEUTRAL,0.6,0,0,13,48,2,1
NIFTY,2024-08-01,14:42,15:09,27,LONG,25002.5,24986.5,25034.5,25050.5,25066.5,16.0,25034.5,T1,2.0,16,CHOCH,TRENDING,15.5,0,0,14,42,3,1
NIFTY,2024-08-02,13:39,13:42,3,LONG,24795.5,24781.9,24822.7,24836.3,24863.4,13.6,24822.7,T1,2.0,16,BOS,TRENDING,13.1,0,0,13,39,4,1
NIFTY,2024-08-05,13:24,13:27,3,LONG,24039.5,24016.8,24084.8,24107.5,24130.1,22.6,24084.8,T1,2.0,15,CHOCH,TRENDING,22.15,0,0,13,24,0,1
NIFTY,2024-08-07,11:06,11:09,3,SHORT,24332.5,24356.0,24285.5,24262.0,24226.0,23.5,24285.5,T1,2.0,15,CHOCH,TRENDING,23.0,0,0,11,6,2,1
