index,date,time,exit_time,hold_mins,dir,entry,sl,t1,t2,t3,risk_pts,exit_price,outcome,r,score,mss,regime,fvg_size,fvg_top,fvg_bottom,hour,minute,weekday,win,target_hit
NIFTY,2025-05-28,10:48,10:51,3,LONG,24779.9,24757.8,24824.1,24846.2,24868.3,22.1,24824.1,T1,2.0,14,CHOCH,TRENDING,21.6,0,0,10,48,2,1,T1
NIFTY,2025-05-28,13:15,13:18,3,SHORT,24817.9,24823.8,24806.1,24800.2,24767.2,5.9,24800.2,T2,3.0,16,CHOCH,TRENDING,5.4,0,0,13,15,2,1,T2
NIFTY,2025-05-28,14:09,14:12,3,LONG,24795.2,24784.2,24817.2,24828.2,24839.2,11.0,24817.2,T1,2.0,15,CHOCH,TRENDING,10.5,0,0,14,9,2,1,T1
NIFTY,2025-05-29,13:00,13:24,24,LONG,24719.1,24696.2,24764.9,24787.8,24810.7,22.9,24764.9,T1,2.0,15,CHOCH,TRENDING,22.4,0,0,13,0,3,1,T1
NIFTY,2025-06-02,14:09,14:12,3,SHORT,24819.5,24831.1,24802.1,24796.3,24784.7,11.6,24796.3,T2,2.0,13,CHOCH,NEUTRAL,11.1,0,0,14,9,0,1,T2
NIFTY,2025-06-02,14:57,15:00,3,LONG,24800.4,24793.7,24813.8,24820.5,24831.5,6.7,24831.5,T3,4.64,16,CHOCH,TRENDING,6.2,0,0,14,57,0,1,T3
NIFTY,2025-06-03,13:33,13:36,3,LONG,24685.4,24678.0,24700.2,24707.6,24775.5,7.4,24707.6,T2,3.0,13,BOS,TRENDING,6.9,0,0,13,33,1,1,T2
NIFTY,2025-06-06,10:09,10:15,6,LONG,24790.9,24761.6,24849.5,24878.8,24908.1,29.3,24849.5,T1,2.0,15,CHOCH,TRENDING,28.8,0,0,10,9,4,1,T1
NIFTY,2025-06-06,13:45,14:15,30,LONG,25066.3,25052.6,25086.8,25093.7,25107.4,13.7,25093.7,T2,2.0,12,BOS,NEUTRAL,13.2,0,0,13,45,4,1,T2
NIFTY,2025-06-06,14:45,14:48,3,LONG,25084.1,25072.1,25102.1,25108.1,25124.8,12.0,25108.1,T2,2.0,8,BOS,NEUTRAL,11.5,0,0,14,45,4,1,T2
NIFTY,2025-06-16,14:21,14:24,3,SHORT,25009.5,25012.0,25004.5,25002.0,24975.9,2.5,25002.0,T2,3.0,14,CHOCH,TRENDING,1.0,0,0,14,21,0,1,T2
NIFTY,2025-06-17,13:33,13:36,3,LONG,24882.5,24879.1,24889.3,24892.7,24908.2,3.4,24889.3,T1,2.0,16,CHOCH,TRENDING,2.9,0,0,13,33,1,1,T1
NIFTY,2025-06-17,14:51,14:54,3,SHORT,24886.0,24893.1,24875.3,24871.8,24864.7,7.1,24864.7,T3,3.0,11,CHOCH,NEUTRAL,6.6,0,0,14,51,1,1,T3
NIFTY,2025-06-18,12:09,12:12,3,LONG,24837.5,24834.0,24844.5,24848.0,24873.5,3.5,24848.0,T2,3.0,13,CHOCH,TRENDING,3.0,0,0,12,9,2,1,T2
NIFTY,2025-06-18,13:12,13:15,3,LONG,24825.5,24823.0,24830.5,24833.0,24854.4,2.5,24823.0,SL,-1.0,15,CHOCH,TRENDING,2.0,0,0,13,12,2,0,SL
NIFTY,2025-06-18,14:30,14:33,3,LONG,24800.5,24790.1,24821.3,24831.7,24842.1,10.4,24831.7,T2,3.0,15,CHOCH,TRENDING,9.9,0,0,14,30,2,1,T2
NIFTY,2025-06-23,10:57,11:12,15,LONG,24909.6,24898.1,24932.6,24944.1,24955.6,11.5,24932.6,T1,2.0,11,BOS,TRENDING,11.0,0,0,10,57,0,1,T1
NIFTY,2025-06-23,12:09,12:12,3,LONG,24940.5,24937.3,24946.9,24950.1,24968.0,3.2,24937.3,SL,-1.0,11,BOS,TRENDING,2.7,0,0,12,9,0,0,SL
NIFTY,2025-06-24,12:39,12:42,3,SHORT,25309.5,25333.3,25261.9,25238.1,25187.0,23.8,25238.1,T2,3.0,14,BOS,TRENDING,23.3,0,0,12,39,1,1,T2
NIFTY,2025-06-24,14:33,14:36,3,LONG,25085.5,25083.0,25090.5,25093.0,25144.5,2.5,25093.0,T2,3.0,10,CHOCH,TRENDING,1.1,0,0,14,33,1,1,T2
NIFTY,2025-06-30,12:15,12:18,3,LONG,25690.5,25687.4,25695.2,25696.7,25710.0,3.1,25696.7,T2,2.0,10,BOS,NEUTRAL,2.6,0,0,12,15,0,1,T2
