index,date,time,exit_time,hold_mins,dir,entry,sl,t1,t2,t3,risk_pts,exit_price,outcome,r,score,mss,regime,fvg_size,fvg_top,fvg_bottom,hour,minute,weekday,win,period,month,year,session
NIFTY,2024-05-24,14:27,14:30,3,SHORT,23058.5,23066.3,23046.8,23042.9,23022.5,7.8,23022.5,T3,4.61,15,CHOCH,NEUTRAL,7.3,0,0,14,27,4,1,2024-25,2024-05,2024,PM (12-15)
BANKNIFTY,2024-05-24,10:54,10:57,3,LONG,48803.2,48775.5,48844.9,48858.8,48886.5,27.8,48858.8,T2,2.0,13,CHOCH,TRENDING,27.25,0,0,10,54,4,1,2024-25,2024-05,2024,AM (10-12)
NIFTY,2024-05-24,15:09,15:12,3,LONG,23014.2,22999.5,23043.7,23058.5,23073.2,14.8,23043.7,T1,2.0,14,CHOCH,TRENDING,14.25,0,0,15,9,4,1,2024-25,2024-05,2024,PM (12-15)
NIFTY,2024-05-27,12:54,12:57,3,SHORT,23165.8,23172.0,23153.5,23147.3,23130.0,6.2,23147.3,T2,3.0,11,CHOCH,TRENDING,5.65,0,0,12,54,0,1,2024-25,2024-05,2024,PM (12-15)
NIFTY,2024-05-28,10:18,10:21,3,LONG,22988.5,22978.8,23003.0,23007.9,23028.2,9.7,23028.2,T3,4.09,13,CHOCH,NEUTRAL,9.2,0,0,10,18,1,1,2024-25,2024-05,2024,AM (10-12)
NIFTY,2024-05-28,11:12,11:15,3,LONG,22988.5,22978.8,23003.0,23007.9,23029.1,9.7,23007.9,T2,2.0,13,CHOCH,NEUTRAL,9.2,0,0,11,12,1,1,2024-25,2024-05,2024,AM (10-12)
NIFTY,2024-05-28,12:54,13:18,24,LONG,22936.5,22906.9,22995.5,23025.1,23054.7,29.6,22995.5,T1,2.0,16,BOS,TRENDING,29.05,0,0,12,54,1,1,2024-25,2024-05,2024,PM (12-15)
BANKNIFTY,2024-05-29,13:57,14:00,3,SHORT,49099.5,49105.1,49093.9,49091.2,49021.3,5.5,49091.2,T2,1.5,14,CHOCH,NEUTRAL,5.05,0,0,13,57,2,1,2024-25,2024-05,2024,PM (12-15)
NIFTY,2024-05-31,10:15,10:18,3,SHORT,22674.6,22681.2,22661.4,22654.8,22644.1,6.6,22681.2,SL,-1.0,12,CHOCH,TRENDING,6.1,0,0,10,15,4,0,2024-25,2024-05,2024,AM (10-12)
NIFTY,2024-05-31,12:09,12:12,3,SHORT,22638.2,22641.8,22630.8,22627.0,22623.3,3.7,22627.0,T2,3.0,14,CHOCH,TRENDING,3.2,0,0,12,9,4,1,2024-25,2024-05,2024,PM (12-15)
NIFTY,2024-05-31,12:51,12:54,3,LONG,22628.3,22613.5,22657.8,22672.5,22687.3,14.8,22672.5,T2,3.0,15,BOS,TRENDING,14.25,0,0,12,51,4,1,2024-25,2024-05,2024,PM (12-15)
NIFTY,2024-05-31,15:15,15:18,3,LONG,22686.2,22683.7,22689.9,22691.2,22789.2,2.5,22691.2,T2,2.0,11,CHOCH,NEUTRAL,0.6,0,0,15,15,4,1,2024-25,2024-05,2024,PM (12-15)
BANKNIFTY,2024-06-04,13:00,13:03,3,LONG,46942.0,46917.7,46978.4,46990.6,47600.0,24.3,46990.6,T2,2.0,11,CHOCH,TRENDING,23.8,0,0,13,0,1,1,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-06-04,13:15,13:18,3,LONG,21911.5,21897.1,21933.2,21940.5,22377.2,14.4,21940.5,T2,2.0,15,BOS,NEUTRAL,13.95,0,0,13,15,1,1,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-06-05,12:42,12:45,3,SHORT,22366.5,22386.0,22337.3,22327.5,22308.0,19.5,22327.5,T2,2.0,14,CHOCH,NEUTRAL,19.0,0,0,12,42,2,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-07,13:18,13:21,3,SHORT,49881.6,49888.8,49870.8,49867.2,49822.5,7.2,49822.5,T3,8.2,13,CHOCH,TRENDING,6.7,0,0,13,18,4,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-07,13:57,14:00,3,SHORT,49900.6,49903.2,49898.0,49896.7,49742.5,2.6,49896.7,T2,1.5,8,BOS,NEUTRAL,2.1,0,0,13,57,4,1,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-06-10,14:24,14:27,3,SHORT,23350.6,23354.0,23343.8,23340.4,23292.2,3.4,23292.2,T3,17.16,14,CHOCH,TRENDING,2.9,0,0,14,24,0,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-11,14:03,14:06,3,SHORT,49999.5,50033.4,49948.7,49931.7,49836.5,33.9,49931.7,T2,2.0,15,CHOCH,TRENDING,33.4,0,0,14,3,1,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-11,12:33,12:36,3,SHORT,49875.4,49891.8,49850.8,49842.6,49816.0,16.4,49842.6,T2,2.0,10,BOS,TRENDING,15.9,0,0,12,33,1,1,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-06-11,10:03,10:06,3,LONG,23290.5,23278.5,23308.6,23314.7,23389.8,12.1,23314.7,T2,2.0,12,BOS,NEUTRAL,11.55,0,0,10,3,1,1,2024-25,2024-06,2024,AM (10-12)
NIFTY,2024-06-12,14:45,15:00,15,LONG,23375.5,23363.9,23398.5,23410.1,23429.0,11.6,23363.9,SL,-1.0,16,CHOCH,TRENDING,11.05,0,0,14,45,2,0,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-12,12:09,12:12,3,SHORT,50088.3,50113.1,50051.1,50038.7,50013.9,24.8,50038.7,T2,2.0,10,BOS,TRENDING,24.3,0,0,12,9,2,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-12,13:33,13:36,3,LONG,49983.0,49954.9,50025.2,50039.2,50067.3,28.1,50025.2,T1,1.5,15,CHOCH,TRENDING,27.6,0,0,13,33,2,1,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-06-12,11:39,11:57,18,SHORT,23434.5,23453.2,23397.0,23378.2,23359.5,18.8,23453.2,SL,-1.0,16,CHOCH,TRENDING,18.25,0,0,11,39,2,0,2024-25,2024-06,2024,AM (10-12)
BANKNIFTY,2024-06-12,14:45,14:48,3,LONG,49984.5,49975.9,49997.3,50001.6,50046.2,8.6,49975.9,SL,-1.0,15,CHOCH,TRENDING,8.05,0,0,14,45,2,0,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-06-13,14:06,14:09,3,SHORT,23409.5,23412.0,23405.8,23404.5,23402.0,2.5,23402.0,T3,3.0,13,BOS,NEUTRAL,1.4,0,0,14,6,3,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-13,11:06,11:09,3,LONG,49949.5,49929.0,49980.2,49990.5,50093.1,20.5,49990.5,T2,2.0,9,CHOCH,TRENDING,20.0,0,0,11,6,3,1,2024-25,2024-06,2024,AM (10-12)
BANKNIFTY,2024-06-13,13:24,13:27,3,SHORT,50019.5,50041.6,49997.4,49986.3,49969.4,22.1,49986.3,T2,1.5,12,BOS,NEUTRAL,21.6,0,0,13,24,3,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-14,14:33,14:36,3,LONG,49992.6,49977.8,50014.8,50022.2,50089.2,14.8,50022.2,T2,2.0,15,CHOCH,TRENDING,14.3,0,0,14,33,4,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-14,13:12,13:15,3,LONG,50062.5,50054.0,50075.2,50079.5,50088.3,8.5,50054.0,SL,-1.0,15,CHOCH,TRENDING,8.0,0,0,13,12,4,0,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-18,14:39,14:42,3,SHORT,50386.8,50389.3,50383.1,50381.8,50320.1,2.5,50389.3,SL,-1.0,15,BOS,TRENDING,0.35,0,0,14,39,1,0,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-06-19,11:42,11:45,3,LONG,23502.3,23492.2,23517.5,23522.6,23598.0,10.2,23522.6,T2,2.0,10,BOS,NEUTRAL,9.65,0,0,11,42,2,1,2024-25,2024-06,2024,AM (10-12)
BANKNIFTY,2024-06-19,11:33,11:36,3,SHORT,50969.7,51000.4,50939.0,50923.7,50827.0,30.7,50923.7,T2,1.5,11,CHOCH,NEUTRAL,30.2,0,0,11,33,2,1,2024-25,2024-06,2024,AM (10-12)
BANKNIFTY,2024-06-19,10:15,10:18,3,SHORT,51085.3,51133.4,51013.3,50989.2,50374.6,48.0,50989.2,T2,2.0,12,CHOCH,TRENDING,47.55,0,0,10,15,2,1,2024-25,2024-06,2024,AM (10-12)
NIFTY,2024-06-19,13:06,13:09,3,SHORT,23555.2,23558.7,23548.2,23544.7,23529.2,3.5,23529.2,T3,7.43,14,CHOCH,TRENDING,3.0,0,0,13,6,2,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-20,13:57,14:00,3,SHORT,51727.9,51746.8,51699.5,51690.0,51535.4,18.9,51690.0,T2,2.0,15,CHOCH,TRENDING,18.45,0,0,13,57,3,1,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-06-20,13:54,13:57,3,SHORT,23598.5,23623.3,23548.8,23524.0,23499.1,24.9,23548.8,T1,2.0,18,CHOCH,TRENDING,24.35,0,0,13,54,3,1,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-06-21,13:54,14:00,6,LONG,23479.2,23444.2,23549.1,23584.0,23619.0,35.0,23549.1,T1,2.0,17,CHOCH,TRENDING,34.45,0,0,13,54,4,1,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-06-24,12:45,12:48,3,SHORT,23531.0,23533.5,23526.0,23523.5,23494.0,2.5,23523.5,T2,3.0,13,BOS,TRENDING,1.65,0,0,12,45,0,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-24,15:12,15:15,3,LONG,51722.4,51719.9,51724.9,51726.2,51780.8,2.5,51726.2,T2,1.5,15,CHOCH,NEUTRAL,0.05,0,0,15,12,0,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-25,14:18,14:21,3,SHORT,52614.5,52640.6,52575.4,52562.4,52400.0,26.1,52562.4,T2,2.0,13,CHOCH,TRENDING,25.55,0,0,14,18,1,1,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-06-25,11:06,11:15,9,SHORT,23608.0,23618.5,23587.2,23576.7,23566.2,10.4,23576.7,T2,3.0,14,CHOCH,TRENDING,9.95,0,0,11,6,1,1,2024-25,2024-06,2024,AM (10-12)
NIFTY,2024-06-26,10:18,10:21,3,LONG,23703.5,23696.0,23714.8,23718.5,23741.4,7.5,23741.4,T3,5.05,15,CHOCH,NEUTRAL,7.0,0,0,10,18,2,1,2024-25,2024-06,2024,AM (10-12)
BANKNIFTY,2024-06-27,14:45,14:48,3,LONG,52920.5,52915.7,52927.8,52930.2,52982.5,4.8,52982.5,T3,12.78,14,BOS,TRENDING,4.35,0,0,14,45,3,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-27,12:42,12:45,3,SHORT,53028.1,53037.2,53018.9,53014.4,52948.2,9.1,53014.4,T2,1.5,11,CHOCH,NEUTRAL,8.6,0,0,12,42,3,1,2024-25,2024-06,2024,PM (12-15)
BANKNIFTY,2024-06-27,10:33,10:36,3,SHORT,53069.5,53095.0,53031.2,53018.5,52705.1,25.5,53018.5,T2,2.0,13,CHOCH,TRENDING,25.0,0,0,10,33,3,1,2024-25,2024-06,2024,AM (10-12)
NIFTY,2024-06-27,13:00,13:03,3,SHORT,24004.3,24026.4,23960.2,23938.2,23916.2,22.1,23960.2,T1,2.0,17,CHOCH,TRENDING,21.55,0,0,13,0,3,1,2024-25,2024-06,2024,PM (12-15)
NIFTY,2024-07-01,14:27,14:30,3,SHORT,24211.2,24214.8,24206.0,24204.2,24184.9,3.5,24204.2,T2,2.0,15,CHOCH,NEUTRAL,3.0,0,0,14,27,0,1,2024-25,2024-07,2024,PM (12-15)
BANKNIFTY,2024-07-02,15:03,15:06,3,SHORT,52388.5,52398.1,52378.9,52374.1,52341.4,9.6,52374.1,T2,1.5,14,CHOCH,NEUTRAL,9.1,0,0,15,3,1,1,2024-25,2024-07,2024,PM (12-15)
NIFTY,2024-07-02,15:03,15:06,3,SHORT,24209.1,24214.2,24198.9,24193.8,24164.5,5.1,24193.8,T2,3.0,14,CHOCH,TRENDING,4.6,0,0,15,3,1,1,2024-25,2024-07,2024,PM (12-15)
NIFTY,2024-07-02,13:57,14:00,3,LONG,24175.5,24168.0,24186.8,24190.5,24202.0,7.5,24190.5,T2,2.0,15,CHOCH,NEUTRAL,7.0,0,0,13,57,1,1,2024-25,2024-07,2024,PM (12-15)
NIFTY,2024-07-02,13:21,13:24,3,LONG,24166.5,24164.0,24171.5,24174.0,24233.8,2.5,24174.0,T2,3.0,14,CHOCH,TRENDING,0.25,0,0,13,21,1,1,2024-25,2024-07,2024,PM (12-15)
NIFTY,2024-07-02,11:39,11:42,3,SHORT,24264.5,24273.2,24247.2,24238.5,24210.0,8.7,24238.5,T2,3.0,14,CHOCH,TRENDING,8.15,0,0,11,39,1,1,2024-25,2024-07,2024,AM (10-12)
NIFTY,2024-07-04,14:48,14:57,9,LONG,24369.2,24360.3,24382.7,24387.2,24402.2,8.9,24360.3,SL,-1.0,14,BOS,NEUTRAL,8.45,0,0,14,48,3,0,2024-25,2024-07,2024,PM (12-15)
