name,market,n,wins,losses,win_rate,profit_factor,avg_r,total_r,max_dd_r,confidence,rank,recommendation,filters,symbol,entry_type,exit_type,sl_type,tp_type,trailing_sl_type,trend,structure,CHoCH,BOS,MSS,FVG,OB,displacement,session,score_gate,market_key,filter_score_gate,filter_direction,filter_session,filter_h4,filter_h1,filter_ob,filter_mss_type,filter_mss,filter_fvg_displacement,filter_skip_no_displacement,filter_regime,filter_skip_regime,filter_volatility,filter_news_filter,filter_exit_model,filter_ob_present
score_gate_8,NSE,643,464,179,72.16,8.1611,1.9935,1281.84,4.0,HIGH,A,Strong filter; does not fully hit 80% WR target but has robust sample.,{'score_gate': 8},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,ALL,ALL,8,nse,8.0,,,,,,,,,,,,,,,
score_gate_10,NSE,393,275,118,69.97,7.4488,1.9363,760.96,4.5,HIGH,B,Useful context filter; combine with stronger confirmation before live changes.,{'score_gate': 10},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,ALL,ALL,10,nse,10.0,,,,,,,,,,,,,,,
score_gate_12,NSE,302,220,82,72.85,8.9355,2.1547,650.71,4.0,HIGH,A,Strong filter; does not fully hit 80% WR target but has robust sample.,{'score_gate': 12},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,ALL,ALL,12,nse,12.0,,,,,,,,,,,,,,,
score_gate_14,NSE,58,39,19,67.24,5.0821,1.3372,77.56,4.51,ACCEPTABLE,B,Useful context filter; combine with stronger confirmation before live changes.,{'score_gate': 14},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,ALL,ALL,14,nse,14.0,,,,,,,,,,,,,,,
score_gate_15,NSE,15,9,6,60.0,3.8417,1.1367,17.05,5.0,LOW CONFIDENCE,B,Useful context filter; combine with stronger confirmation before live changes.,{'score_gate': 15},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,ALL,ALL,15,nse,15.0,,,,,,,,,,,,,,,
long_only,NSE,341,237,104,69.5,6.6287,1.7167,585.38,4.0,HIGH,B,Useful context filter; combine with stronger confirmation before live changes.,{'direction': 'long'},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,ALL,ALL,ALL,nse,,long,,,,,,,,,,,,,,
short_only,NSE,377,279,98,74.01,9.4163,2.1878,824.8,4.0,HIGH,A,Strong filter; does not fully hit 80% WR target but has robust sample.,{'direction': 'short'},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,ALL,ALL,ALL,nse,,short,,,,,,,,,,,,,,
10_00_window,NSE,162,116,46,71.6,7.5339,1.8553,300.56,3.0,HIGH,A,Strong filter; does not fully hit 80% WR target but has robust sample.,{'session': '10:00'},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,ALL,10:00,ALL,nse,,,10:00,,,,,,,,,,,,,
13_30_window,NSE,101,83,18,82.18,13.6611,2.2564,227.9,2.0,HIGH,A+,Candidate for manual review; meets 80%+ WR and PF 2.25+ with acceptable sample.,{'session': '13:30'},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,ALL,13:30,ALL,nse,,,13:30,,,,,,,,,,,,,
h4_aligned_only,NSE,0,0,0,0.0,0.0,0.0,0.0,0.0,LOW CONFIDENCE,REJECT,No trades,{'h4': 'aligned'},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,ALL,ALL,ALL,nse,,,,aligned,,,,,,,,,,,,
h1_h4_aligned,NSE,0,0,0,0.0,0.0,0.0,0.0,0.0,LOW CONFIDENCE,REJECT,No trades,"{'h1': 'aligned', 'h4': 'aligned'}",ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,ALL,ALL,ALL,nse,,,,aligned,aligned,,,,,,,,,,,
ob_present,NSE,382,266,116,69.63,7.4802,1.9678,751.7,4.0,HIGH,B,Useful context filter; combine with stronger confirmation before live changes.,{'ob': True},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,True,ALL,ALL,ALL,nse,,,,,,True,,,,,,,,,,
no_ob_score_ge_15,NSE,0,0,0,0.0,0.0,0.0,0.0,0.0,LOW CONFIDENCE,REJECT,No trades,"{'ob': False, 'score_gate': 15}",ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,False,ALL,ALL,15,nse,15.0,,,,,False,,,,,,,,,,
choch_present,NSE,204,131,73,64.22,6.3862,1.9274,393.19,5.0,HIGH,B,Useful context filter; combine with stronger confirmation before live changes.,{'mss_type': 'CHOCH'},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,CHOCH,True,False,True,silver_bullet_fvg,ALL,ALL,ALL,ALL,nse,,,,,,,CHOCH,,,,,,,,,
bos_present,NSE,178,135,43,75.84,9.3374,2.0141,358.51,3.0,HIGH,A,Strong filter; does not fully hit 80% WR target but has robust sample.,{'mss_type': 'BOS'},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,BOS,False,True,True,silver_bullet_fvg,ALL,ALL,ALL,ALL,nse,,,,,,,BOS,,,,,,,,,
mss_present,NSE,382,266,116,69.63,7.4802,1.9678,751.7,4.0,HIGH,B,Useful context filter; combine with stronger confirmation before live changes.,{'mss': True},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,True,silver_bullet_fvg,ALL,ALL,ALL,ALL,nse,,,,,,,,True,,,,,,,,
fvg_displacement_only,NSE,330,247,83,74.85,8.8686,1.9791,653.09,3.0,HIGH,A,Strong filter; does not fully hit 80% WR target but has robust sample.,{'fvg_displacement': True},ALL,silver_bullet_fvg_retest,logged_cb6_exit,logged_cb6_sl,logged_cb6_tp,logged_cb6_management,ALL,ALL,False,False,False,silver_bullet_fvg,ALL,True,ALL,ALL,nse,,,,,,,,,True,,,,,,,
