trade_id,symbol,contract,direction,entry_time,exit_time,entry_price,exit_price,contracts,point_value,commission,slippage,pnl_gross,pnl_net,r_multiple,stop_loss,target,session,tags,open
734cdbbd,MCL,MCLH26,LONG,2026-01-14 10:00:00+00:00,2026-01-14 11:00:00+00:00,58.129999999999995,58.2,1,10.0,2.25,0.1,0.7000000000000739,-3.9999999999999263,-10.0,58.09,58.21,NY_OPEN,[],False
460cc9e5,MCL,MCLH26,LONG,2026-01-14 12:00:00+00:00,2026-01-14 13:00:00+00:00,58.33,58.4,1,10.0,2.25,0.1,0.7000000000000028,-3.9999999999999973,-10.0,58.29,58.41,NY_LUNCH,[],False
4763b464,MCL,MCLH26,LONG,2026-01-20 14:00:00+00:00,2026-01-20 15:00:00+00:00,59.22,59.29,1,10.0,2.25,0.1,0.7000000000000028,-3.9999999999999973,-10.0,59.18,59.3,NY_AFTERNOON,[],False
651e6726,MCL,MCLH26,LONG,2026-01-27 15:00:00+00:00,2026-01-27 16:00:00+00:00,59.86,59.93,1,10.0,2.25,0.1,0.7000000000000028,-3.9999999999999973,-10.0,59.82,59.94,NY_AFTERNOON,[],False
92742748,MCL,MCLH26,LONG,2026-01-30 04:00:00+00:00,2026-01-30 05:00:00+00:00,59.93,60.690000000000005,1,10.0,2.25,0.1,7.600000000000051,2.900000000000051,1.07,59.66,60.7,LONDON_OPEN,[],False
09844972,MCL,MCLH26,LONG,2026-02-03 02:00:00+00:00,2026-02-03 03:00:00+00:00,59.93,60.690000000000005,1,10.0,2.25,0.1,7.600000000000051,2.900000000000051,1.07,59.66,60.7,LONDON_OPEN,[],False
a8584c66,MCL,MCLH26,LONG,2026-02-03 03:00:00+00:00,2026-02-03 04:00:00+00:00,59.93,60.690000000000005,1,10.0,2.25,0.1,7.600000000000051,2.900000000000051,1.07,59.66,60.7,LONDON_OPEN,[],False
ee515d39,MCL,MCLH26,SHORT,2026-02-03 04:00:00+00:00,2026-02-03 05:00:00+00:00,64.22,63.519999999999996,1,10.0,2.25,0.1,7.000000000000028,2.3000000000000282,0.92,64.47,63.51,LONDON_OPEN,[],False
f85753d3,MCL,MCLH26,SHORT,2026-02-04 02:00:00+00:00,2026-02-04 07:00:00+00:00,64.22,63.519999999999996,1,10.0,2.25,0.1,7.000000000000028,2.3000000000000282,0.92,64.47,63.51,LONDON_OPEN,[],False
a2358088,MCL,MCLH26,SHORT,2026-02-05 02:00:00+00:00,2026-02-05 03:00:00+00:00,64.22,63.519999999999996,1,10.0,2.25,0.1,7.000000000000028,2.3000000000000282,0.92,64.47,63.51,LONDON_OPEN,[],False
